Life tables (period 1x10), Males 	Last modified: 29 Apr 2026; Methods Protocol: v6 (2017) 

PopName    Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
AUS      1921-1929       89      0.25707  0.22779  0.50    3780     861    3350    12672   3.35
AUS      1921-1929       90      0.29981  0.26072  0.50    2919     761    2539     9323   3.19
AUS      1921-1929       91      0.25523  0.22634  0.50    2158     488    1914     6784   3.14
AUS      1921-1929       92      0.29993  0.26081  0.50    1670     435    1452     4870   2.92
AUS      1921-1929       93      0.30340  0.26344  0.50    1234     325    1072     3418   2.77
AUS      1921-1929       94      0.34595  0.29494  0.50     909     268     775     2347   2.58
AUS      1921-1929       95      0.36972  0.31204  0.50     641     200     541     1572   2.45
AUS      1921-1929       96      0.39116  0.32717  0.50     441     144     369     1031   2.34
AUS      1921-1929       97      0.41302  0.34233  0.50     297     102     246      662   2.23
AUS      1921-1929       98      0.43524  0.35745  0.50     195      70     160      416   2.13
AUS      1921-1929       99      0.45772  0.37247  0.50     125      47     102      256   2.04
AUS      1921-1929      100      0.48037  0.38734  0.50      79      30      63      154   1.96
AUS      1921-1929      101      0.50310  0.40198  0.50      48      19      39       91   1.88
AUS      1921-1929      102      0.52582  0.41636  0.50      29      12      23       52   1.81
AUS      1921-1929      103      0.54843  0.43041  0.50      17       7      13       29   1.74
AUS      1921-1929      104      0.57085  0.44409  0.50      10       4       7       16   1.68
AUS      1921-1929      105      0.59298  0.45737  0.50       5       2       4        9   1.63
AUS      1921-1929      106      0.61473  0.47021  0.50       3       1       2        5   1.58
AUS      1921-1929      107      0.63604  0.48257  0.50       2       1       1        2   1.53
AUS      1921-1929      108      0.65683  0.49445  0.50       1       0       1        1   1.49
AUS      1921-1929      109      0.67703  0.50581  0.50       0       0       0        1   1.46
AUS      1921-1929      110+     0.69660  1.00000  1.44       0       0       0        0   1.44
AUS      1930-1939        0      0.04716  0.04541  0.18  100000    4541   96286  6348324  63.48
AUS      1930-1939        1      0.00731  0.00728  0.50   95459     695   95112  6252038  65.49
AUS      1930-1939        2      0.00381  0.00380  0.50   94764     360   94584  6156926  64.97
AUS      1930-1939        3      0.00280  0.00280  0.50   94404     264   94272  6062342  64.22
AUS      1930-1939        4      0.00209  0.00209  0.50   94140     197   94041  5968071  63.40
AUS      1930-1939        5      0.00192  0.00192  0.50   93943     180   93853  5874029  62.53
AUS      1930-1939        6      0.00169  0.00169  0.50   93763     159   93684  5780176  61.65
AUS      1930-1939        7      0.00149  0.00149  0.50   93604     140   93535  5686493  60.75
AUS      1930-1939        8      0.00134  0.00134  0.50   93465     126   93402  5592958  59.84
AUS      1930-1939        9      0.00125  0.00125  0.50   93339     117   93281  5499556  58.92
AUS      1930-1939       10      0.00117  0.00117  0.50   93223     109   93168  5406275  57.99
AUS      1930-1939       11      0.00111  0.00111  0.50   93114     103   93062  5313107  57.06
AUS      1930-1939       12      0.00117  0.00117  0.50   93010     109   92956  5220045  56.12
AUS      1930-1939       13      0.00128  0.00128  0.50   92901     119   92842  5127089  55.19
AUS      1930-1939       14      0.00147  0.00147  0.50   92783     136   92715  5034246  54.26
AUS      1930-1939       15      0.00156  0.00156  0.50   92646     144   92574  4941532  53.34
AUS      1930-1939       16      0.00161  0.00161  0.50   92502     149   92427  4848958  52.42
AUS      1930-1939       17      0.00173  0.00173  0.50   92353     160   92273  4756530  51.50
AUS      1930-1939       18      0.00198  0.00198  0.50   92193     182   92102  4664258  50.59
AUS      1930-1939       19      0.00230  0.00230  0.50   92010     211   91905  4572156  49.69
AUS      1930-1939       20      0.00233  0.00232  0.50   91799     213   91692  4480251  48.80
AUS      1930-1939       21      0.00239  0.00239  0.50   91586     219   91477  4388559  47.92
AUS      1930-1939       22      0.00242  0.00242  0.50   91367     221   91257  4297082  47.03
AUS      1930-1939       23      0.00239  0.00239  0.50   91146     218   91037  4205825  46.14
AUS      1930-1939       24      0.00246  0.00246  0.50   90928     223   90817  4114788  45.25
AUS      1930-1939       25      0.00250  0.00250  0.50   90705     227   90591  4023972  44.36
AUS      1930-1939       26      0.00253  0.00253  0.50   90478     229   90364  3933380  43.47
AUS      1930-1939       27      0.00247  0.00246  0.50   90249     222   90138  3843016  42.58
AUS      1930-1939       28      0.00268  0.00268  0.50   90027     241   89907  3752878  41.69
AUS      1930-1939       29      0.00267  0.00267  0.50   89786     240   89667  3662971  40.80
AUS      1930-1939       30      0.00265  0.00265  0.50   89547     237   89428  3573305  39.90
AUS      1930-1939       31      0.00260  0.00260  0.50   89309     232   89193  3483877  39.01
AUS      1930-1939       32      0.00312  0.00312  0.50   89077     278   88939  3394683  38.11
AUS      1930-1939       33      0.00297  0.00296  0.50   88800     263   88668  3305745  37.23
AUS      1930-1939       34      0.00324  0.00323  0.50   88537     286   88394  3217077  36.34
AUS      1930-1939       35      0.00359  0.00358  0.50   88250     316   88092  3128683  35.45
AUS      1930-1939       36      0.00372  0.00371  0.50   87934     326   87771  3040591  34.58
AUS      1930-1939       37      0.00360  0.00360  0.50   87608     315   87451  2952819  33.70
AUS      1930-1939       38      0.00436  0.00435  0.50   87293     380   87103  2865369  32.82
AUS      1930-1939       39      0.00447  0.00446  0.50   86913     388   86719  2778266  31.97
AUS      1930-1939       40      0.00477  0.00476  0.50   86525     411   86320  2691547  31.11
AUS      1930-1939       41      0.00446  0.00445  0.50   86114     383   85922  2605227  30.25
AUS      1930-1939       42      0.00588  0.00586  0.50   85731     502   85479  2519305  29.39
AUS      1930-1939       43      0.00550  0.00548  0.50   85228     467   84994  2433826  28.56
AUS      1930-1939       44      0.00594  0.00592  0.50   84761     502   84510  2348831  27.71
AUS      1930-1939       45      0.00703  0.00700  0.50   84259     590   83964  2264322  26.87
AUS      1930-1939       46      0.00692  0.00689  0.50   83669     577   83380  2180358  26.06
AUS      1930-1939       47      0.00758  0.00755  0.50   83092     627   82779  2096977  25.24
AUS      1930-1939       48      0.00851  0.00847  0.50   82465     699   82116  2014199  24.42
AUS      1930-1939       49      0.00927  0.00922  0.50   81766     754   81389  1932083  23.63
AUS      1930-1939       50      0.01041  0.01036  0.50   81012     839   80592  1850694  22.84
AUS      1930-1939       51      0.00950  0.00945  0.50   80173     758   79794  1770102  22.08
AUS      1930-1939       52      0.01226  0.01219  0.50   79415     968   78931  1690308  21.28
AUS      1930-1939       53      0.01277  0.01269  0.50   78447     995   77949  1611377  20.54
AUS      1930-1939       54      0.01393  0.01383  0.50   77452    1071   76916  1533428  19.80
AUS      1930-1939       55      0.01432  0.01422  0.50   76381    1086   75838  1456511  19.07
AUS      1930-1939       56      0.01690  0.01676  0.50   75295    1262   74664  1380674  18.34
AUS      1930-1939       57      0.01725  0.01711  0.50   74033    1266   73400  1306010  17.64
AUS      1930-1939       58      0.01992  0.01972  0.50   72766    1435   72049  1232610  16.94
AUS      1930-1939       59      0.02031  0.02011  0.50   71331    1434   70614  1160561  16.27
AUS      1930-1939       60      0.02381  0.02353  0.50   69897    1644   69075  1089947  15.59
AUS      1930-1939       61      0.02108  0.02086  0.50   68253    1424   67541  1020873  14.96
AUS      1930-1939       62      0.02656  0.02621  0.50   66829    1751   65953   953332  14.27
AUS      1930-1939       63      0.02979  0.02935  0.50   65077    1910   64122   887379  13.64
AUS      1930-1939       64      0.03228  0.03176  0.50   63167    2006   62164   823257  13.03
AUS      1930-1939       65      0.03704  0.03637  0.50   61161    2224   60049   761093  12.44
AUS      1930-1939       66      0.03530  0.03468  0.50   58937    2044   57915   701044  11.89
AUS      1930-1939       67      0.04059  0.03978  0.50   56892    2263   55761   643129  11.30
AUS      1930-1939       68      0.04412  0.04317  0.50   54629    2358   53450   587368  10.75
AUS      1930-1939       69      0.04713  0.04604  0.50   52271    2407   51068   533918  10.21
AUS      1930-1939       70      0.05463  0.05318  0.50   49864    2652   48538   482851   9.68
AUS      1930-1939       71      0.04955  0.04835  0.50   47212    2283   46071   434313   9.20
AUS      1930-1939       72      0.06464  0.06262  0.50   44930    2813   43523   388242   8.64
AUS      1930-1939       73      0.06896  0.06666  0.50   42116    2808   40713   344719   8.18
AUS      1930-1939       74      0.07816  0.07522  0.50   39309    2957   37830   304006   7.73
AUS      1930-1939       75      0.08664  0.08304  0.50   36352    3019   34843   266175   7.32
AUS      1930-1939       76      0.09404  0.08982  0.50   33333    2994   31836   231333   6.94
AUS      1930-1939       77      0.09638  0.09195  0.50   30339    2790   28945   199496   6.58
AUS      1930-1939       78      0.11348  0.10739  0.50   27550    2959   26070   170552   6.19
AUS      1930-1939       79      0.11780  0.11124  0.50   24591    2736   23223   144481   5.88
AUS      1930-1939       80      0.12710  0.11951  0.50   21856    2612   20550   121258   5.55
AUS      1930-1939       81      0.11847  0.11185  0.50   19244    2152   18167   100708   5.23
AUS      1930-1939       82      0.15297  0.14211  0.50   17091    2429   15877    82541   4.83
AUS      1930-1939       83      0.16624  0.15348  0.50   14663    2250   13537    66664   4.55
AUS      1930-1939       84      0.19391  0.17677  0.50   12412    2194   11315    53127   4.28
AUS      1930-1939       85      0.19419  0.17700  0.50   10218    1809    9314    41811   4.09
AUS      1930-1939       86      0.21852  0.19700  0.50    8409    1657    7581    32498   3.86
AUS      1930-1939       87      0.23265  0.20841  0.50    6753    1407    6049    24917   3.69
AUS      1930-1939       88      0.24634  0.21933  0.50    5345    1172    4759    18868   3.53
AUS      1930-1939       89      0.25834  0.22879  0.50    4173     955    3696    14108   3.38
AUS      1930-1939       90      0.28454  0.24910  0.50    3218     802    2817    10413   3.24
AUS      1930-1939       91      0.25849  0.22891  0.50    2417     553    2140     7595   3.14
AUS      1930-1939       92      0.28213  0.24725  0.50    1863     461    1633     5455   2.93
AUS      1930-1939       93      0.31176  0.26972  0.50    1403     378    1214     3822   2.72
AUS      1930-1939       94      0.33309  0.28554  0.50    1024     292     878     2609   2.55
AUS      1930-1939       95      0.38371  0.32195  0.50     732     236     614     1730   2.36
AUS      1930-1939       96      0.40702  0.33819  0.50     496     168     412     1116   2.25
AUS      1930-1939       97      0.43075  0.35442  0.50     328     116     270      704   2.14
AUS      1930-1939       98      0.45481  0.37054  0.50     212      79     173      434   2.05
AUS      1930-1939       99      0.47907  0.38649  0.50     133      52     108      261   1.96
AUS      1930-1939      100      0.50344  0.40220  0.50      82      33      65      153   1.87
AUS      1930-1939      101      0.52779  0.41759  0.50      49      20      39       88   1.80
AUS      1930-1939      102      0.55201  0.43261  0.50      29      12      22       49   1.73
AUS      1930-1939      103      0.57598  0.44719  0.50      16       7      13       27   1.66
AUS      1930-1939      104      0.59960  0.46130  0.50       9       4       7       14   1.61
AUS      1930-1939      105      0.62277  0.47489  0.50       5       2       4        7   1.55
AUS      1930-1939      106      0.64539  0.48793  0.50       3       1       2        4   1.50
AUS      1930-1939      107      0.66738  0.50040  0.50       1       1       1        2   1.46
AUS      1930-1939      108      0.68866  0.51227  0.50       1       0       0        1   1.42
AUS      1930-1939      109      0.70917  0.52353  0.50       0       0       0        0   1.39
AUS      1930-1939      110+     0.72887  1.00000  1.37       0       0       0        0   1.37
AUS      1940-1949        0      0.03727  0.03612  0.15  100000    3612   96929  6549357  65.49
AUS      1940-1949        1      0.00445  0.00444  0.50   96388     428   96174  6452428  66.94
AUS      1940-1949        2      0.00248  0.00248  0.50   95960     238   95841  6356254  66.24
AUS      1940-1949        3      0.00178  0.00178  0.50   95722     170   95637  6260413  65.40
AUS      1940-1949        4      0.00154  0.00154  0.50   95552     147   95478  6164776  64.52
AUS      1940-1949        5      0.00143  0.00143  0.50   95404     136   95336  6069298  63.62
AUS      1940-1949        6      0.00124  0.00124  0.50   95268     118   95209  5973962  62.71
AUS      1940-1949        7      0.00109  0.00109  0.50   95150     103   95098  5878754  61.78
AUS      1940-1949        8      0.00095  0.00095  0.50   95046      90   95001  5783656  60.85
AUS      1940-1949        9      0.00096  0.00096  0.50   94956      91   94910  5688654  59.91
AUS      1940-1949       10      0.00095  0.00095  0.50   94865      90   94820  5593744  58.97
AUS      1940-1949       11      0.00090  0.00090  0.50   94774      86   94732  5498925  58.02
AUS      1940-1949       12      0.00101  0.00101  0.50   94689      95   94641  5404193  57.07
AUS      1940-1949       13      0.00088  0.00088  0.50   94594      84   94552  5309552  56.13
AUS      1940-1949       14      0.00111  0.00111  0.50   94510     105   94457  5215000  55.18
AUS      1940-1949       15      0.00121  0.00121  0.50   94405     114   94348  5120543  54.24
AUS      1940-1949       16      0.00147  0.00147  0.50   94291     138   94222  5026195  53.31
AUS      1940-1949       17      0.00146  0.00146  0.50   94153     138   94084  4931973  52.38
AUS      1940-1949       18      0.00162  0.00162  0.50   94015     152   93939  4837890  51.46
AUS      1940-1949       19      0.00156  0.00156  0.50   93862     146   93789  4743951  50.54
AUS      1940-1949       20      0.00155  0.00155  0.50   93716     145   93644  4650162  49.62
AUS      1940-1949       21      0.00150  0.00150  0.50   93571     141   93501  4556518  48.70
AUS      1940-1949       22      0.00161  0.00161  0.50   93430     151   93355  4463017  47.77
AUS      1940-1949       23      0.00163  0.00162  0.50   93280     152   93204  4369662  46.84
AUS      1940-1949       24      0.00169  0.00169  0.50   93128     157   93050  4276458  45.92
AUS      1940-1949       25      0.00155  0.00155  0.50   92971     144   92899  4183409  45.00
AUS      1940-1949       26      0.00163  0.00162  0.50   92827     151   92752  4090510  44.07
AUS      1940-1949       27      0.00161  0.00160  0.50   92676     149   92602  3997758  43.14
AUS      1940-1949       28      0.00173  0.00172  0.50   92528     160   92448  3905156  42.21
AUS      1940-1949       29      0.00181  0.00180  0.50   92368     167   92285  3812708  41.28
AUS      1940-1949       30      0.00178  0.00178  0.50   92201     164   92119  3720424  40.35
AUS      1940-1949       31      0.00192  0.00192  0.50   92037     177   91949  3628304  39.42
AUS      1940-1949       32      0.00200  0.00199  0.50   91860     183   91769  3536356  38.50
AUS      1940-1949       33      0.00211  0.00211  0.50   91677     193   91581  3444587  37.57
AUS      1940-1949       34      0.00227  0.00226  0.50   91484     207   91380  3353006  36.65
AUS      1940-1949       35      0.00239  0.00238  0.50   91277     218   91168  3261626  35.73
AUS      1940-1949       36      0.00255  0.00255  0.50   91059     232   90943  3170458  34.82
AUS      1940-1949       37      0.00274  0.00273  0.50   90827     248   90703  3079515  33.91
AUS      1940-1949       38      0.00319  0.00318  0.50   90579     288   90434  2988812  33.00
AUS      1940-1949       39      0.00332  0.00332  0.50   90290     300   90140  2898378  32.10
AUS      1940-1949       40      0.00357  0.00356  0.50   89991     320   89830  2808237  31.21
AUS      1940-1949       41      0.00380  0.00379  0.50   89670     340   89500  2718407  30.32
AUS      1940-1949       42      0.00432  0.00431  0.50   89330     385   89137  2628907  29.43
AUS      1940-1949       43      0.00456  0.00455  0.50   88945     405   88742  2539769  28.55
AUS      1940-1949       44      0.00519  0.00518  0.50   88540     458   88311  2451027  27.68
AUS      1940-1949       45      0.00599  0.00597  0.50   88081     526   87818  2362717  26.82
AUS      1940-1949       46      0.00617  0.00615  0.50   87555     538   87286  2274898  25.98
AUS      1940-1949       47      0.00683  0.00680  0.50   87017     592   86721  2187612  25.14
AUS      1940-1949       48      0.00791  0.00788  0.50   86425     681   86084  2100891  24.31
AUS      1940-1949       49      0.00857  0.00854  0.50   85744     732   85378  2014807  23.50
AUS      1940-1949       50      0.00935  0.00930  0.50   85012     791   84616  1929429  22.70
AUS      1940-1949       51      0.00946  0.00941  0.50   84221     793   83825  1844813  21.90
AUS      1940-1949       52      0.01158  0.01152  0.50   83428     961   82948  1760988  21.11
AUS      1940-1949       53      0.01236  0.01228  0.50   82467    1013   81961  1678041  20.35
AUS      1940-1949       54      0.01375  0.01365  0.50   81455    1112   80899  1596080  19.59
AUS      1940-1949       55      0.01404  0.01394  0.50   80342    1120   79783  1515181  18.86
AUS      1940-1949       56      0.01613  0.01600  0.50   79223    1268   78589  1435398  18.12
AUS      1940-1949       57      0.01711  0.01697  0.50   77955    1323   77294  1356810  17.41
AUS      1940-1949       58      0.02000  0.01980  0.50   76632    1517   75874  1279516  16.70
AUS      1940-1949       59      0.02115  0.02093  0.50   75115    1572   74329  1203642  16.02
AUS      1940-1949       60      0.02361  0.02334  0.50   73543    1716   72685  1129313  15.36
AUS      1940-1949       61      0.02294  0.02268  0.50   71827    1629   71012  1056628  14.71
AUS      1940-1949       62      0.02826  0.02787  0.50   70198    1956   69219   985616  14.04
AUS      1940-1949       63      0.03127  0.03079  0.50   68241    2101   67191   916396  13.43
AUS      1940-1949       64      0.03373  0.03317  0.50   66140    2194   65043   849205  12.84
AUS      1940-1949       65      0.03840  0.03767  0.50   63946    2409   62742   784162  12.26
AUS      1940-1949       66      0.03717  0.03650  0.50   61537    2246   60414   721421  11.72
AUS      1940-1949       67      0.04225  0.04138  0.50   59291    2453   58065   661006  11.15
AUS      1940-1949       68      0.04688  0.04581  0.50   56838    2604   55536   602941  10.61
AUS      1940-1949       69      0.05016  0.04893  0.50   54235    2654   52908   547405  10.09
AUS      1940-1949       70      0.05674  0.05518  0.50   51581    2846   50158   494497   9.59
AUS      1940-1949       71      0.05206  0.05074  0.50   48735    2473   47498   444340   9.12
AUS      1940-1949       72      0.06526  0.06320  0.50   46262    2924   44800   396841   8.58
AUS      1940-1949       73      0.07204  0.06954  0.50   43338    3014   41831   352041   8.12
AUS      1940-1949       74      0.07880  0.07581  0.50   40324    3057   38796   310210   7.69
AUS      1940-1949       75      0.08519  0.08171  0.50   37268    3045   35745   271414   7.28
AUS      1940-1949       76      0.09376  0.08957  0.50   34222    3065   32690   235669   6.89
AUS      1940-1949       77      0.09703  0.09254  0.50   31157    2883   29716   202980   6.51
AUS      1940-1949       78      0.11396  0.10782  0.50   28274    3048   26750   173264   6.13
AUS      1940-1949       79      0.12028  0.11345  0.50   25226    2862   23795   146514   5.81
AUS      1940-1949       80      0.12848  0.12073  0.50   22364    2700   21014   122720   5.49
AUS      1940-1949       81      0.12256  0.11548  0.50   19664    2271   18528   101706   5.17
AUS      1940-1949       82      0.14860  0.13832  0.50   17393    2406   16190    83178   4.78
AUS      1940-1949       83      0.16693  0.15407  0.50   14987    2309   13833    66988   4.47
AUS      1940-1949       84      0.18876  0.17248  0.50   12678    2187   11585    53155   4.19
AUS      1940-1949       85      0.20320  0.18446  0.50   10491    1935    9524    41571   3.96
AUS      1940-1949       86      0.22565  0.20277  0.50    8556    1735    7689    32047   3.75
AUS      1940-1949       87      0.23792  0.21263  0.50    6821    1450    6096    24358   3.57
AUS      1940-1949       88      0.24704  0.21988  0.50    5371    1181    4780    18262   3.40
AUS      1940-1949       89      0.26280  0.23228  0.50    4190     973    3703    13482   3.22
AUS      1940-1949       90      0.28782  0.25161  0.50    3217     809    2812     9779   3.04
AUS      1940-1949       91      0.28635  0.25048  0.50    2407     603    2106     6967   2.89
AUS      1940-1949       92      0.32182  0.27721  0.50    1804     500    1554     4861   2.69
AUS      1940-1949       93      0.34618  0.29510  0.50    1304     385    1112     3307   2.54
AUS      1940-1949       94      0.35452  0.30114  0.50     919     277     781     2195   2.39
AUS      1940-1949       95      0.41446  0.34331  0.50     642     221     532     1414   2.20
AUS      1940-1949       96      0.44063  0.36108  0.50     422     152     346      882   2.09
AUS      1940-1949       97      0.46714  0.37869  0.50     270     102     219      536   1.99
AUS      1940-1949       98      0.49384  0.39605  0.50     167      66     134      318   1.90
AUS      1940-1949       99      0.52057  0.41306  0.50     101      42      80      183   1.81
AUS      1940-1949      100      0.54718  0.42964  0.50      59      26      47      103   1.73
AUS      1940-1949      101      0.57353  0.44571  0.50      34      15      26       56   1.66
AUS      1940-1949      102      0.59946  0.46122  0.50      19       9      14       30   1.60
AUS      1940-1949      103      0.62485  0.47610  0.50      10       5       8       16   1.54
AUS      1940-1949      104      0.64957  0.49032  0.50       5       3       4        8   1.49
AUS      1940-1949      105      0.67352  0.50384  0.50       3       1       2        4   1.44
AUS      1940-1949      106      0.69659  0.51664  0.50       1       1       1        2   1.40
AUS      1940-1949      107      0.71871  0.52871  0.50       1       0       0        1   1.36
AUS      1940-1949      108      0.73982  0.54005  0.50       0       0       0        0   1.33
AUS      1940-1949      109      0.75988  0.55066  0.50       0       0       0        0   1.30
AUS      1940-1949      110+     0.77885  1.00000  1.28       0       0       0        0   1.28
