Life tables (period 1x10), Males 	Last modified: 29 Apr 2026; Methods Protocol: v6 (2017) 

PopName    Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
AUS      1921-1929        0      0.06482  0.06177  0.24  100000    6177   95303  6073467  60.73
AUS      1921-1929        1      0.01132  0.01125  0.50   93823    1056   93295  5978164  63.72
AUS      1921-1929        2      0.00474  0.00473  0.50   92767     439   92547  5884870  63.44
AUS      1921-1929        3      0.00335  0.00334  0.50   92328     308   92173  5792322  62.74
AUS      1921-1929        4      0.00255  0.00254  0.50   92019     234   91902  5700149  61.95
AUS      1921-1929        5      0.00210  0.00209  0.50   91785     192   91689  5608247  61.10
AUS      1921-1929        6      0.00191  0.00191  0.50   91593     175   91506  5516558  60.23
AUS      1921-1929        7      0.00172  0.00172  0.50   91418     157   91340  5425053  59.34
AUS      1921-1929        8      0.00161  0.00161  0.50   91261     147   91188  5333713  58.44
AUS      1921-1929        9      0.00136  0.00136  0.50   91114     124   91053  5242525  57.54
AUS      1921-1929       10      0.00140  0.00140  0.50   90991     128   90927  5151473  56.62
AUS      1921-1929       11      0.00135  0.00135  0.50   90863     122   90802  5060546  55.69
AUS      1921-1929       12      0.00133  0.00133  0.50   90741     121   90680  4969744  54.77
AUS      1921-1929       13      0.00144  0.00144  0.50   90620     131   90555  4879063  53.84
AUS      1921-1929       14      0.00165  0.00165  0.50   90489     149   90414  4788509  52.92
AUS      1921-1929       15      0.00176  0.00176  0.50   90340     159   90260  4698094  52.00
AUS      1921-1929       16      0.00206  0.00206  0.50   90181     186   90088  4607834  51.10
AUS      1921-1929       17      0.00223  0.00223  0.50   89995     200   89895  4517746  50.20
AUS      1921-1929       18      0.00228  0.00228  0.50   89795     205   89692  4427852  49.31
AUS      1921-1929       19      0.00271  0.00271  0.50   89590     243   89469  4338159  48.42
AUS      1921-1929       20      0.00260  0.00260  0.50   89347     232   89231  4248691  47.55
AUS      1921-1929       21      0.00289  0.00288  0.50   89115     257   88986  4159460  46.68
AUS      1921-1929       22      0.00294  0.00294  0.50   88858     261   88727  4070473  45.81
AUS      1921-1929       23      0.00298  0.00297  0.50   88597     263   88465  3981746  44.94
AUS      1921-1929       24      0.00318  0.00318  0.50   88334     281   88193  3893281  44.07
AUS      1921-1929       25      0.00312  0.00311  0.50   88053     274   87916  3805088  43.21
AUS      1921-1929       26      0.00329  0.00328  0.50   87779     288   87635  3717172  42.35
AUS      1921-1929       27      0.00318  0.00318  0.50   87490     278   87351  3629537  41.48
AUS      1921-1929       28      0.00354  0.00353  0.50   87212     308   87058  3542186  40.62
AUS      1921-1929       29      0.00352  0.00352  0.50   86904     306   86752  3455127  39.76
AUS      1921-1929       30      0.00366  0.00366  0.50   86599     317   86440  3368376  38.90
AUS      1921-1929       31      0.00354  0.00353  0.50   86282     305   86130  3281935  38.04
AUS      1921-1929       32      0.00381  0.00381  0.50   85977     327   85814  3195806  37.17
AUS      1921-1929       33      0.00400  0.00399  0.50   85650     342   85479  3109992  36.31
AUS      1921-1929       34      0.00421  0.00420  0.50   85308     359   85129  3024513  35.45
AUS      1921-1929       35      0.00468  0.00467  0.50   84949     396   84751  2939384  34.60
AUS      1921-1929       36      0.00460  0.00459  0.50   84553     388   84359  2854633  33.76
AUS      1921-1929       37      0.00460  0.00459  0.50   84165     386   83972  2770274  32.91
AUS      1921-1929       38      0.00570  0.00568  0.50   83779     476   83541  2686302  32.06
AUS      1921-1929       39      0.00545  0.00544  0.50   83303     453   83077  2602761  31.24
AUS      1921-1929       40      0.00633  0.00631  0.50   82850     523   82589  2519684  30.41
AUS      1921-1929       41      0.00558  0.00556  0.50   82328     458   82099  2437095  29.60
AUS      1921-1929       42      0.00720  0.00717  0.50   81870     587   81576  2354996  28.77
AUS      1921-1929       43      0.00674  0.00671  0.50   81283     546   81010  2273420  27.97
AUS      1921-1929       44      0.00722  0.00719  0.50   80737     581   80447  2192410  27.15
AUS      1921-1929       45      0.00919  0.00915  0.50   80156     733   79790  2111963  26.35
AUS      1921-1929       46      0.00821  0.00818  0.50   79423     649   79098  2032173  25.59
AUS      1921-1929       47      0.00913  0.00908  0.50   78774     716   78416  1953075  24.79
AUS      1921-1929       48      0.01021  0.01016  0.50   78058     793   77662  1874659  24.02
AUS      1921-1929       49      0.01027  0.01021  0.50   77265     789   76871  1796997  23.26
AUS      1921-1929       50      0.01320  0.01311  0.50   76476    1003   75975  1720126  22.49
AUS      1921-1929       51      0.01007  0.01002  0.50   75473     756   75095  1644152  21.78
AUS      1921-1929       52      0.01316  0.01307  0.50   74717     977   74229  1569056  21.00
AUS      1921-1929       53      0.01353  0.01344  0.50   73740     991   73245  1494827  20.27
AUS      1921-1929       54      0.01499  0.01488  0.50   72749    1082   72208  1421583  19.54
AUS      1921-1929       55      0.01512  0.01500  0.50   71667    1075   71129  1349374  18.83
AUS      1921-1929       56      0.01774  0.01759  0.50   70592    1241   69971  1278245  18.11
AUS      1921-1929       57      0.01741  0.01726  0.50   69350    1197   68752  1208274  17.42
AUS      1921-1929       58      0.02030  0.02009  0.50   68153    1369   67469  1139522  16.72
AUS      1921-1929       59      0.02059  0.02038  0.50   66784    1361   66103  1072054  16.05
AUS      1921-1929       60      0.02694  0.02658  0.50   65423    1739   64553  1005950  15.38
AUS      1921-1929       61      0.02115  0.02093  0.50   63684    1333   63017   941397  14.78
AUS      1921-1929       62      0.02705  0.02669  0.50   62350    1664   61518   878380  14.09
AUS      1921-1929       63      0.03086  0.03039  0.50   60686    1844   59764   816862  13.46
AUS      1921-1929       64      0.03324  0.03269  0.50   58842    1924   57880   757098  12.87
AUS      1921-1929       65      0.04077  0.03995  0.50   56918    2274   55781   699217  12.28
AUS      1921-1929       66      0.03521  0.03460  0.50   54644    1891   53699   643436  11.77
AUS      1921-1929       67      0.04077  0.03995  0.50   52754    2108   51700   589737  11.18
AUS      1921-1929       68      0.04606  0.04502  0.50   50646    2280   49506   538037  10.62
AUS      1921-1929       69      0.04663  0.04557  0.50   48366    2204   47264   488531  10.10
AUS      1921-1929       70      0.05758  0.05596  0.50   46162    2583   44870   441267   9.56
AUS      1921-1929       71      0.05015  0.04893  0.50   43579    2132   42512   396397   9.10
AUS      1921-1929       72      0.06468  0.06266  0.50   41446    2597   40148   353885   8.54
AUS      1921-1929       73      0.07204  0.06953  0.50   38849    2701   37499   313737   8.08
AUS      1921-1929       74      0.07894  0.07595  0.50   36148    2745   34775   276238   7.64
AUS      1921-1929       75      0.09123  0.08725  0.50   33403    2914   31946   241463   7.23
AUS      1921-1929       76      0.09787  0.09330  0.50   30488    2845   29066   209517   6.87
AUS      1921-1929       77      0.09483  0.09053  0.50   27644    2503   26392   180451   6.53
AUS      1921-1929       78      0.11719  0.11070  0.50   25141    2783   23749   154059   6.13
AUS      1921-1929       79      0.11983  0.11306  0.50   22358    2528   21094   130309   5.83
AUS      1921-1929       80      0.13684  0.12807  0.50   19830    2540   18560   109215   5.51
AUS      1921-1929       81      0.12081  0.11392  0.50   17290    1970   16306    90655   5.24
AUS      1921-1929       82      0.15112  0.14051  0.50   15321    2153   14244    74349   4.85
AUS      1921-1929       83      0.15620  0.14488  0.50   13168    1908   12214    60105   4.56
AUS      1921-1929       84      0.19221  0.17535  0.50   11260    1975   10273    47891   4.25
AUS      1921-1929       85      0.20408  0.18518  0.50    9286    1720    8426    37618   4.05
AUS      1921-1929       86      0.22356  0.20108  0.50    7566    1521    6805    29192   3.86
AUS      1921-1929       87      0.22923  0.20566  0.50    6045    1243    5423    22386   3.70
AUS      1921-1929       88      0.23803  0.21272  0.50    4802    1021    4291    16963   3.53
